from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_minutes
11,38,1,flight,550,USD,471.9,1709.0
11,39,1,flight,480,USD,411.84,1230.0
11,39,1,flight,410,EUR,410.0,1230.0
11,39,1,flight,480,USD,411.84,1230.0
11,39,1,flight,410,EUR,410.0,1230.0
11,39,1,flight,480,USD,411.84,1230.0
11,39,1,flight,410,EUR,410.0,1230.0
11,39,1,flight,480,USD,411.84,1230.0
11,39,1,flight,410,EUR,410.0,1230.0
11,40,1,flight,738,USD,633.2,1030.0
11,40,1,flight,738,USD,633.2,1030.0
11,40,1,flight,738,USD,633.2,1030.0
11,41,1,flight,500,USD,429.0,1429.0
11,44,1,flight,850,SAR,-1,860.0
11,45,1,flight,1100,SAR,-1,835.0
11,45, ,car,2900,SAR,-1,7513.6
11,47,1,flight,9500,MXN,400.84,1485.0
11,48,1,flight,40000,JPY,300.48,460.0
11,53,1,flight,2300000,IDR,140.05,680.0
11,55,1,flight,10000,INR,114.29,465.0
11,55, ,car,26000,INR,297.14,2991.0
11,56,1,flight,11000,INR,125.71,605.0
11,56, ,car,36000,INR,411.43,4010.9
11,57,1,flight,11000,INR,125.71,485.0
11,57, ,car,39000,INR,445.71,4408.4
11,58,1,flight,480,USD,411.84,960.0
11,58, ,car,850,USD,729.3,8428.4
11,60,1,flight,750,CNY,100.72,615.0
11,60, ,car,1300,CNY,174.58,1875.3
11,61,1,flight,2500,CNY,335.73,505.0
11,61, ,car,1200,CNY,161.15,1800.7
11,62,1,flight,550,CAD,382.24,1245.0
11,62,1,flight,550,CAD,382.24,1245.0
11,62,1,flight,550,CAD,382.24,1245.0
11,63,1,flight,490,CAD,340.54,1195.0
11,63,1,flight,700,CAD,486.48,1474.0
11,63,1,flight,490,CAD,340.54,1195.0
11,63,1,flight,700,CAD,486.48,1474.0
11,63,1,flight,490,CAD,340.54,1195.0
11,63,1,flight,700,CAD,486.48,1474.0
11,64,1,flight,2700,BRL,416.63,1910.0
11,64,1,flight,2400,BRL,370.34,1870.0
11,64,1,flight,2700,BRL,416.63,1910.0
11,64,1,flight,2400,BRL,370.34,1870.0
11,65,1,flight,70000,ARS,-1,2015.0
11,65,1,flight,60000,ARS,-1,2100.0
11,65,1,flight,70000,ARS,-1,2015.0
11,65,1,flight,60000,ARS,-1,2100.0
11,66,1,flight,17000,INR,194.29,480.0
11,66, ,car,40000,INR,457.14,4542.5
11,67,1,flight,800,THB,20.58,215.0
11,67, ,car,4100,THB,105.45,1212.4
11,68,1,flight,30000,KRW,21.85,565.0
11,69,1,flight,700,AED,-1,595.0
11,69, ,car,3000,AED,-1,7831.9
11,69, ,car,700,EUR,700.0,7833.0
11,69,1,flight,700,AED,-1,595.0
11,69, ,car,3000,AED,-1,7831.9
11,69, ,car,700,EUR,700.0,7833.0
11,70,1,flight,9000,PHP,152.14,415.0
11,71,1,flight,8000,PHP,135.23,345.0
11,72,1,flight,550,AUD,352.54,645.0
11,73,1,flight,500,AUD,320.49,710.0
11,73,1,flight,490,AUD,314.08,905.0
11,73,1,flight,500,AUD,320.49,710.0
11,73,1,flight,490,AUD,314.08,905.0
11,73,1,flight,500,AUD,320.49,710.0
11,73,1,flight,490,AUD,314.08,905.0
11,74,1,flight,3900,MAD,-1,1145.0
11,75,1,flight,200,MYR,41.14,345.0
11,75, ,car,600,MYR,123.41,1502.7
11,76,1,flight,1400000,IDR,85.25,300.0
11,76,1,flight,1000000,IDR,60.89,1000.0
11,76,1,flight,1400000,IDR,85.25,300.0
11,76,1,flight,1000000,IDR,60.89,1000.0
11,77,1,flight,29,USD,24.88,270.0
11,77, ,car,110,USD,94.38,1291.1
11,78,1,flight,430,USD,368.94,835.0
11,78, ,car,850,USD,729.3,8205.6
11,79,1,flight,360,MYR,74.05,525.0
11,79, ,car,800,MYR,164.54,1889.0
11,80,1,flight,1100000,IDR,66.98,560.0
11,81,1,flight,110,USD,94.38,65.0
11,81, ,car,20,USD,17.16,220.7
11,82,1,flight,3700,CNY,496.88,245.0
11,82, ,car,2100,CNY,282.02,2722.7
11,82,1,flight,850,CNY,114.15,385.0
11,82, ,car,2100,CNY,282.02,2690.2
11,82,1,flight,3700,CNY,496.88,245.0
11,82, ,car,2100,CNY,282.02,2722.7
11,82,1,flight,850,CNY,114.15,385.0
11,82, ,car,2100,CNY,282.02,2690.2
11,83,1,flight,480000,KRW,349.61,320.0
11,83, ,car,750000,KRW,546.27,3808.5
11,83,1,flight,30000,KRW,21.85,585.0
11,83, ,car,750000,KRW,546.27,3773.4
11,83,1,flight,480000,KRW,349.61,320.0
11,83, ,car,750000,KRW,546.27,3808.5
11,83,1,flight,30000,KRW,21.85,585.0
11,83, ,car,750000,KRW,546.27,3773.4
11,84,1,flight,950,SAR,-1,890.0
11,84, ,car,3000,SAR,-1,7853.5
11,85, ,car,18,USD,15.44,221.5
11,86,1,flight,1100,SAR,-1,785.0
11,86, ,car,3200,SAR,-1,8081.7
11,87,1,flight,210,USD,180.18,200.0
11,87,1,flight,500,USD,429.0,590.0
11,87,1,flight,210,USD,180.18,200.0
11,87,1,flight,500,USD,429.0,590.0
11,88,1,flight,2800,THB,72.01,420.0
11,88, ,car,1700,THB,43.72,535.6
11,89,1,flight,48000,JPY,360.58,355.0
11,89,1,flight,38000,JPY,285.46,460.0
11,89,1,flight,48000,JPY,360.58,355.0
11,89,1,flight,38000,JPY,285.46,460.0
11,90,1,flight,1800,THB,46.3,255.0
11,90, ,car,4300,THB,110.59,1249.3
11,91,1,flight,11000,INR,125.71,625.0
11,91, ,car,41000,INR,468.57,4625.2
11,92,1,flight,750,CNY,100.72,415.0
11,92, ,car,1300,CNY,174.58,1916.7
11,93,1,flight,9000,INR,102.86,455.0
11,93, ,car,36000,INR,411.43,3949.2
11,94,1,flight,240,MYR,49.36,110.0
11,94, ,car,700,MYR,143.98,1728.0
11,94,1,flight,850,MYR,174.83,380.0
11,94, ,car,700,MYR,143.98,1694.0
11,94,1,flight,240,MYR,49.36,110.0
11,94, ,car,700,MYR,143.98,1728.0
11,94,1,flight,850,MYR,174.83,380.0
11,94, ,car,700,MYR,143.98,1694.0
12,9,1,flight,240,USD,205.92,1035.0
12,9, ,car,0,,0,4397.0
12,10,1,flight,200,USD,171.6,2275.0
12,10, ,car,0,,0,7329.9
12,11,1,flight,95,USD,81.51,760.0
12,11, ,car,130,USD,111.54,1378.4
12,13,1,flight,330,USD,283.14,1070.0
12,13, ,car,400,USD,343.2,6768.2
12,15,1,flight,180,USD,154.44,1060.0
12,16,1,flight,2700,CNY,362.59,1265.0
12,17,1,flight,330,USD,283.14,895.0
12,18,1,flight,130,USD,111.54,1075.0
12,18, ,car,180,USD,154.44,1919.7
12,19,1,flight,180,USD,154.44,995.0
12,20,1,flight,270,USD,231.66,975.0
12,21,1,flight,650,USD,557.7,1970.0
12,22,1,flight,230,USD,197.34,835.0
12,23,1,flight,100,USD,85.8,985.0
12,23, ,car,0,,0,1266.9
12,24,1,flight,27000,LKR,-1,1145.0
12,24,1,flight,27000,LKR,-1,1145.0
12,25,1,flight,310,USD,265.98,2015.0
12,25, ,car,320,USD,274.56,3964.1
12,26,1,flight,320,USD,274.56,1110.0
12,27,1,flight,75,USD,64.35,1140.0
12,28,1,flight,480,USD,411.84,1045.0
12,29,1,flight,270,USD,231.66,1255.0
12,29, ,car,0,,0,4636.9
12,30,1,flight,390,USD,334.62,1995.0
12,31,1,flight,450,USD,386.1,825.0
12,31,1,flight,450,USD,386.1,825.0
12,32,1,flight,210,USD,180.18,930.0
12,33,1,flight,350,USD,300.3,1285.0
12,34,1,flight,270,USD,231.66,1215.0
12,35,1,flight,250,USD,214.5,1085.0
12,36,1,flight,440,USD,377.52,1660.0
12,37,1,flight,390,USD,334.62,1705.0
12,38,1,flight,410,USD,351.78,1842.0
12,38,1,flight,410,USD,351.78,1842.0
12,39,1,flight,480,USD,411.84,1855.0
12,39,1,flight,410,EUR,410.0,1855.0
12,39,1,flight,480,USD,411.84,1855.0
12,39,1,flight,410,EUR,410.0,1855.0
12,39,1,flight,480,USD,411.84,1855.0
12,39,1,flight,410,EUR,410.0,1855.0
12,39,1,flight,480,USD,411.84,1855.0
12,39,1,flight,410,EUR,410.0,1855.0
12,40,1,flight,390,USD,334.62,1735.0
12,40,1,flight,390,USD,334.62,1735.0
12,40,1,flight,390,USD,334.62,1735.0
12,41,1,flight,480,USD,411.84,1730.0
12,44,1,flight,750,SAR,-1,930.0
12,45,1,flight,1000,SAR,-1,905.0
12,47,1,flight,11000,MXN,464.13,1705.0
12,48,1,flight,33000,JPY,247.9,595.0
12,53,1,flight,2900000,IDR,176.59,1145.0
12,55,1,flight,8500,INR,97.14,545.0
12,55, ,car,14000,INR,160.0,1652.6
12,56,1,flight,10000,INR,114.29,820.0
12,56, ,car,24000,INR,274.29,2672.5
12,57,1,flight,10000,INR,114.29,815.0
12,57, ,car,27000,INR,308.57,3070.0
12,58,1,flight,340,USD,291.72,1030.0
12,58, ,car,310,USD,265.98,7090.0
12,60,1,flight,2700,CNY,362.59,1320.0
12,60, ,car,1600,CNY,214.87,1857.5
12,61,1,flight,2600,CNY,349.16,1470.0
12,61, ,car,1400,CNY,188.01,1603.6
12,62,1,flight,500,CAD,347.49,1575.0
12,62,1,flight,500,CAD,347.49,1575.0
12,62,1,flight,500,CAD,347.49,1575.0
12,63,1,flight,650,CAD,451.73,1650.0
12,63,1,flight,600,CAD,416.99,1704.0
12,63,1,flight,650,CAD,451.73,1650.0
12,63,1,flight,600,CAD,416.99,1704.0
12,63,1,flight,650,CAD,451.73,1650.0
12,63,1,flight,600,CAD,416.99,1704.0
12,64,1,flight,2400,BRL,370.34,1980.0
12,64,1,flight,2100,BRL,324.04,1955.0
12,64,1,flight,2400,BRL,370.34,1980.0
12,64,1,flight,2100,BRL,324.04,1955.0
12,65,1,flight,85000,ARS,-1,2140.0
12,65,1,flight,55000,ARS,-1,2170.0
12,65,1,flight,85000,ARS,-1,2140.0
12,65,1,flight,55000,ARS,-1,2170.0
12,66,1,flight,12000,INR,137.14,925.0
12,66, ,car,28000,INR,320.0,3204.1
12,67,1,flight,2700,THB,69.44,750.0
12,67, ,car,5000,THB,128.6,1429.6
12,68,1,flight,200000,KRW,145.67,870.0
12,69,1,flight,700,AED,-1,665.0
12,69, ,car,1400,AED,-1,6493.5
12,69, ,car,340,EUR,340.0,6494.6
12,69,1,flight,700,AED,-1,665.0
12,69, ,car,1400,AED,-1,6493.5
12,69, ,car,340,EUR,340.0,6494.6
12,70,1,flight,550,NZD,337.55,1330.0
12,71,1,flight,8000,PHP,135.23,560.0
12,72,1,flight,1000,AUD,640.98,895.0
12,73,1,flight,1000,AUD,640.98,780.0
12,73,1,flight,490,AUD,314.08,2245.0
12,73,1,flight,1000,AUD,640.98,780.0
12,73,1,flight,490,AUD,314.08,2245.0
12,73,1,flight,1000,AUD,640.98,780.0
12,73,1,flight,490,AUD,314.08,2245.0
12,74,1,flight,3400,MAD,-1,1215.0
12,74, ,car,12000,MAD,-1,12079.6
12,75,1,flight,210,MYR,43.19,1055.0
12,75, ,car,400,MYR,82.27,1719.9
12,76,1,flight,1400000,IDR,85.25,930.0
12,76,1,flight,1400000,IDR,85.25,930.0
12,77,1,flight,65,USD,55.77,1015.0
12,77, ,car,150,USD,128.7,1427.0
12,78,1,flight,270,USD,231.66,905.0
12,79,1,flight,500,MYR,102.84,1100.0
12,79, ,car,500,MYR,102.84,2106.3
