OPA,Kopasker Airport,Kopasker,IS,Iceland,66.3108,-16.4667
SAK,Saudarkrokur Airport,Saudarkrokur,IS,Iceland,65.7317,-19.5728
NOR,Nordfjordur Airport,Nordfjordur,IS,Iceland,65.1319,-13.7464
OFJ,Olafsfjordur Airport,Olafsfjordur,IS,Iceland,66.0833,-18.6667
PFJ,Patreksfjordur Airport,Patreksfjordur,IS,Iceland,65.5558,-23.965
RHA,Reykholar Airport,Reykholar,IS,Iceland,65.4526,-22.2061
OLI,Rif Airport,Rif,IS,Iceland,64.9114,-23.8231
RFN,Raufarhofn Airport,Raufarhofn,IS,Iceland,66.4064,-15.9183
RKV,Reykjavik Airport,Reykjavik,IS,Iceland,64.13,-21.9406
MVA,Reykjahlid Airport,Myvatn,IS,Iceland,65.6558,-16.9181
SIJ,Siglufjordur Airport,Siglufjordur,IS,Iceland,66.1333,-18.9167
SYK,Stykkisholmur Airport,Stykkisholmur,IS,Iceland,65.0581,-22.7942
TEY,Tingeyri Airport,Tingeyri,IS,Iceland,65.8703,-23.56
THO,Thorshofn Airport,Thorshofn,IS,Iceland,66.2185,-15.3356
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,IS,Iceland,63.4243,-20.2789
VPN,Vopnafjordur Airport,Vopnafjordur,IS,Iceland,65.7206,-14.8506
YZZ,Trail Airport,Trail,CA,Canada,49.0556,-117.609
YAA,Anahim Lake Airport,Anahim Lake,CA,Canada,52.4525,-125.303
DGF,Douglas Lake Airport,Douglas Lake,CA,Canada,50.1655,-120.1713
JHL,Fort MacKay/Albian Aerodrome,Albian Village,CA,Canada,57.2239,-111.419
DUQ,Duncan Airport,Duncan,CA,Canada,48.7545,-123.7097
YWM,Williams Harbour Airport,Williams Harbour,CA,Canada,52.5669,-55.7847
YFX,St. Lewis (Fox Harbour) Airport,St. Lewis,CA,Canada,52.3728,-55.6739
YHA,Port Hope Simpson Airport,Port Hope Simpson,CA,Canada,52.5281,-56.2861
YRG,Rigolet Airport,Rigolet,CA,Canada,54.1797,-58.4575
DVK,Diavik Airport,Diavik,CA,Canada,64.5114,-110.289
YCK,Colville Lake Airport,Colville Lake,CA,Canada,67.0333,-126.083
YLE,Whati Airport,Whati,CA,Canada,63.1317,-117.246
NML,Fort McMurray / Mildred Lake Airport,Fort McMurray,CA,Canada,57.0556,-111.574
DAS,Great Bear Lake Airport,Great Bear Lake,CA,Canada,66.7031,-119.707
YFI,Fort Mackay / Firebag,Suncor Energy Site,CA,Canada,57.2758,-110.9767
SUR,Summer Beaver Airport,Summer Beaver,CA,Canada,52.7086,-88.5419
YAX,Wapekeka Airport,Angling Lake,CA,Canada,53.8492,-89.5794
WNN,Wunnumin Lake Airport,Wunnumin Lake,CA,Canada,52.8939,-89.2892
YNO,North Spirit Lake Airport,North Spirit Lake,CA,Canada,52.49,-92.9711
XBE,Bearskin Lake Airport,Bearskin Lake,CA,Canada,53.9656,-91.0272
KIF,Kingfisher Lake Airport,Kingfisher Lake,CA,Canada,53.0125,-89.8553
YOG,Ogoki Post Airport,Ogoki Post,CA,Canada,51.6586,-85.9017
YEB,Bar River Airport,Bar River,CA,Canada,46.4203,-84.0922
YHP,Poplar Hill Airport,Poplar Hill,CA,Canada,52.1133,-94.2556
YNX,Snap Lake Airport,Snap Lake,CA,Canada,63.5936,-110.906
YKU,Chisasibi Airport,Chisasibi,CA,Canada,53.8056,-78.9169
ZTB,Tete-a-la-Baleine Airport,Tete-a-la-Baleine,CA,Canada,50.6744,-59.3836
YAU,Donaldson Airport,Kattiniq,CA,Canada,61.6622,-73.3214
ZLT,La Tabatiere Airport,La Tabatiere,CA,Canada,50.8308,-58.9756
YAC,Cat Lake Airport,Cat Lake,CA,Canada,51.7272,-91.8244
YAR,La Grande-3 Airport,La Grande-3,CA,Canada,53.5717,-76.1964
YAG,Fort Frances Municipal Airport,Fort Frances,CA,Canada,48.6542,-93.4397
YAH,La Grande-4 Airport,La Grande-4,CA,Canada,53.7547,-73.6753
YAL,Alert Bay Airport,Alert Bay,CA,Canada,50.5822,-126.916
YAM,Sault Ste Marie Airport,Sault Ste Marie,CA,Canada,46.485,-84.5094
XKS,Kasabonika Airport,Kasabonika,CA,Canada,53.5247,-88.6428
YKG,Kangirsuk Airport,Kangirsuk,CA,Canada,60.0272,-69.9992
YAT,Attawapiskat Airport,Attawapiskat,CA,Canada,52.9275,-82.4319
YAY,St. Anthony Airport,St. Anthony,CA,Canada,51.3919,-56.0831
YAZ,Tofino / Long Beach Airport,Tofino,CA,Canada,49.0798,-125.7756
YBA,Banff Airport,Banff,CA,Canada,51.2073,-115.5419
YBB,Kugaaruk Airport,Kugaaruk,CA,Canada,68.5344,-89.8081
YBC,Baie Comeau Airport,Baie-Comeau,CA,Canada,49.1325,-68.2044
QBC,Bella Coola Airport,Bella Coola,CA,Canada,52.3875,-126.596
YBE,Uranium City Airport,Uranium,CA,Canada,59.5614,-108.481
YBY,Bonnyville Airport,Bonnyville,CA,Canada,54.3042,-110.744
YBG,CFB Bagotville,Bagotville,CA,Canada,48.3306,-70.9964
YBK,Baker Lake Airport,Baker Lake,CA,Canada,64.2989,-96.0778
YBL,Campbell River Airport,Campbell River,CA,Canada,49.9508,-125.271
XTL,Tadoule Lake Airport,Tadoule Lake,CA,Canada,58.7061,-98.5122
