id,city,airplanCode1,airplanCode2,id2,alt,lng,stateCode,country
321,Sevilla,svq,,166,37.3828,-5.9731,,Spain
323,Skopje,skp,,130,41.9833,21.4333,,North Macedonia
325,Stavanger,svg,,131,58.9701,5.7333,,Norway
326,Strasbourg,sxb,,61,48.5833,7.7458,,France
327,Split,spu,,42,43.51,16.45,,Croatia
329,Stockholm,stoc,"arn, bma, nyo, bst",170,59.3294,18.0686,,Sweden
330,Tirana,tia,,2,41.33,19.82,,Albania
331,Thessaloniki,skg,,67,40.6333,22.95,,Greece
332,Tenerife,tene,"tfs, tfn",166,28.217,-16.589,,Spain
334,Trieste,trs,,84,45.6361,13.8042,,Italy
335,Turin,trn,,84,45.0667,7.7,,Italy
336,Tel-Aviv,tlv,,83,32.0833,34.8,,Israel
337,Terceira Island,ter,,142,38.7211653,-27.217639,,Portugal
338,Timisoara,tsr,,144,45.7597,21.23,,Romania
339,Trabzon,tzx,,182,41.005,39.7225,,Turkey
340,Tampere,tmp,,60,61.4981,23.7608,,Finland
341,Turku,tku,,60,60.4517,22.27,,Finland
342,Toulouse,tls,,61,43.6045,1.444,,France
343,Tivat,tiv,,117,42.43,18.7,,Montenegro
345,Tallinn,tll,,56,59.4372,24.745,,Estonia
346,Tartu,tay,,56,58.38,26.7225,,Estonia
347,Umea,ume,,170,63.8256568,20.2630745,,Sweden
348,Vienna,vie,,10,48.2083,16.3731,,Austria
349,Varna,var,,26,43.2078,27.9169,,Bulgaria
351,Valencia,vlc,,166,10.1667,-68,,Spain
352,Valladolid,vll,,166,41.652,-4.7286,,Spain
353,Venice,veni,"vce, tsf",84,45.4397,12.3319,,Italy
354,Verona,vero,"vrn, vbs",84,45.4386,10.9928,,Italy
356,Vilnius,vno,,101,54.6833,25.2833,,Lithuania
357,Iasi,ias,,144,47.1622,27.5889,,Romania
358,Vaxjo,vxo,,170,56.8787183,14.8094385,,Sweden
359,Visby,vby,,170,57.629,18.3071,,Sweden
361,Weeze,nrn,,65,51.6267298,6.2011559,,Germany
362,Westerland,gwt,,65,54.91,8.3075,,Germany
364,Warsaw,waw,"waw, wmi",141,52.2167,21.0333,,Poland
365,Wroclaw,wro,,141,51.1077,17.0353,,Poland
366,Zweibruecken,zqw,,65,49.248655,7.3641981,,Germany
367,Zaragoza,zaz,,166,41.6483,-0.883,,Spain
368,Zagreb,zag,,42,45.8,15.95,,Croatia
369,Zadar,zad,,42,44.1167,15.2167,,Croatia
370,Zurich,zrh,,171,47.3744489,8.5410422,,Switzerland
371,Chisinau,kiv,,114,47.0056,28.8575,,Moldova
372,Minsk,msqa,"msq, mhp",16,53.9022,27.5618,,Belarus
373,Gomel,gme,,16,52.4417,30.9833,,Belarus
374,Brest,bqt,,16,52.0847,23.6569,,Belarus
375,Vitebsk,vtb,,16,55.1833,30.1667,,Belarus
376,Hrodna,gna,,16,53.6667,23.8167,,Belarus
377,Kiev,kiev,"kbp, iev",186,50.4500336,30.5241361,,Ukraine
378,Kherson,khe,,186,46.6333,32.6,,Ukraine
379,Chernivtsi,cwc,,186,48.2908,25.9344,,Ukraine
380,Odesa,ods,,186,46.4775,30.7326,,Ukraine
381,Zaporizhia,ozh,,186,47.8507859,35.1182867,,Ukraine
382,Vinnytsia,vin,,186,49.2372,28.4672,,Ukraine
383,Lviv,lwo,,186,49.8419,24.0315,,Ukraine
384,Dnipro,dnk,,186,48.45,34.9833,,Ukraine
385,Kharkiv,hrk,,186,50,36.2292,,Ukraine
386,Ivano-Frankivsk,ifo,,186,48.9228,24.7106,,Ukraine
387,Moscow,mosc,"svo, dme, vko, osf, zia",145,55.7558,37.6178,,Russia
388,Saint Petersburg,led,,145,59.95,30.3167,,Russia
389,Sochi,aer,,145,43.5853,39.7203,,Russia
390,Novosibirsk,ovb,,145,55.0333,82.9167,,Russia
391,Ekaterinburg,svx,,145,56.8356,60.6128,,Russia
392,Krasnodar,krr,,145,45.0333,38.9833,,Russia
393,Anapa,aaq,,145,44.8944,37.3167,,Russia
394,Kaliningrad,kgd,,145,54.7167,20.5,,Russia
396,Samara,kuf,,145,53.1833,50.1167,,Russia
397,Irkutsk,ikt,,145,52.2833,104.3,,Russia
398,Krasnoyarsk,kja,,145,56.0167,92.8667,,Russia
399,Ufa,ufa,,145,54.7333,55.9667,,Russia
400,Kazan,kzn,,145,55.7908,49.1144,,Russia
401,Mineralnye Vody,mrv,,145,44.2008,43.1125,,Russia
402,Tyumen,tjm,,145,57.15,65.5333,,Russia
403,Khabarovsk,khv,,145,48.4833,135.0667,,Russia
404,Surgut,sgc,,145,61.25,73.4333,,Russia
405,Vladivostok,vvo,,145,43.1167,131.9,,Russia
406,Yakutsk,yaku,"yks, gyg",145,62.0272,129.7319,,Russia
407,Perm,pee,,145,58.0139,56.2489,,Russia
408,Chelyabinsk,cek,,145,55.15,61.4,,Russia
409,Novy Urengoy,nux,,145,66.089142,76.70356,,Russia
410,Murmansk,mmk,,145,68.9667,33.0833,,Russia
411,Nizhniy Novgorod,goj,,145,56.3269,44.0075,,Russia
412,Volgograd,vog,,145,48.7,44.4833,,Russia
413,Yuzhno-Sakhalinsk,uus,,145,46.95,142.7333,,Russia
414,Arkhangelsk,arh,,145,64.55,40.5333,,Russia
415,Omsk,oms,,145,54.9667,73.3833,,Russia
416,Makhachkala,mcx,,145,42.9833,47.4833,,Russia
417,Gelendzik,gdz,,145,44.5608,38.0767,,Russia
418,Petropavlovsk-Kamchatsky,pkc,,145,53.0167,158.65,,Russia
419,Naberezhnye Chelny,nbc,,145,55.7,52.3333,,Russia
420,Tomsk,tof,,145,56.4886,84.9522,,Russia
421,Nizhnevartovsk,njc,,145,60.9389,76.595,,Russia
422,Orenburg,ren,,145,51.7667,55.1,,Russia
423,Voronezh,voz,,145,51.6717,39.2106,,Russia
424,Syktyvkar,scw,,145,61.6667,50.8167,,Russia
425,Barnaul,bax,,145,53.3567,83.7872,,Russia
426,Astrakhan,asf,,145,46.3333,48.0167,,Russia
427,Norilsk,nsk,,145,69.3333,88.2167,,Russia
428,Belgorod,ego,,145,50.6,36.6,,Russia
429,Salehard,sly,,145,66.5333,66.6333,,Russia
430,Chita,hta,,145,52.0333,113.5,,Russia
431,Izhevsk,ijk,,145,56.85,53.2167,,Russia
432,Khanty-Mansiysk,hma,,145,61,69,,Russia
433,Saratov,sarb,"rtw, gsv",145,51.5333,46,,Russia
434,Stavropol,stw,,145,45.05,41.9833,,Russia
437,Kemerovo,kej,,145,55.3333,86.0667,,Russia
438,Abakan,aba,,145,53.7167,91.4167,,Russia
439,Grozny,grv,,145,43.3125,45.6986,,Russia
441,Vladikavkaz,ogz,,145,43.0167,44.65,,Russia
442,Ulyanovsk,ulya,"ulv, uly",145,54.3167,48.3667,,Russia
444,Penza,pez,,145,53.2,45,,Russia
445,Saransk,skx,,145,54.1833,45.1833,,Russia
446,Nadym,nym,,145,65.5333,72.5167,,Russia
447,Magnitogorsk,mqf,,145,53.3833,59.0333,,Russia
448,Rostov on Don,rov,,145,47.2333,39.7167,,Russia
449,Cheboksary,scy,,145,56.1333,47.25,,Russia
451,Nalchik,nal,,145,43.4833,43.6167,,Russia
452,Cherepovets,cee,,145,59.1333,37.9167,,Russia
453,Magas,igt,,145,43.1667,44.8167,,Russia
454,Kirov,kvx,,145,58.6,49.65,,Russia
455,Naryan-Mar,nnm,,145,67.6378,53.0067,,Russia
456,Bratsk,btk,,145,56.1667,101.6167,,Russia
457,Elista,esl,,145,46.3167,44.2667,,Russia
458,Gorno-Altaysk,rgk,,145,51.96,85.96,,Russia
460,Tambov,tbw,,145,52.7167,41.4333,,Russia
461,Vorkuta,vkt,,145,67.5,64.0333,,Russia
462,Neryungri,ner,,145,56.6583,124.725,,Russia
463,Ivanovo,iwa,,145,57,41,,Russia
464,Anadyr,dyr,,145,64.7333,177.5167,,Russia
465,Kursk,urs,,145,51.7372,36.1872,,Russia
466,Kogalym,kgp,,145,62.26798,74.4889068,,Russia
467,Kurgan,kro,,145,55.4408,65.3411,,Russia
